author,page_text
"
璃白°
","


周末，早起洗漱后，化了个美美的妆，靠在墙壁上，打开美颜，拍了张美美的照片，发了个朋友圈。一会儿，我那做装 修 小 包 工 头的堂哥打电话过来：小妹啊，你家重新翻新装修了一下吗？我一头雾水：没有啊，哥，你怎么这样问?堂哥道：还骗我，我上个月去过你家，你家那墙壁都发黄了，你刚才发朋友圈的照片，墙壁白白净净的。我刚想解释，堂哥忿忿不平道：小妹你不地道啊 ，明知道我也是搞装修的，你这活竟然给别人干。

"
"
夏有凉风秋望月
","


小时候，我有个梦想，就是长大后能当个作家，像冰心，鲁迅谁的，写遍各个领域，翱翔于文字当中，博览群书，没事和三五个好友一起品茶聊天！夏天吹着空调啃西瓜，冬天涮个火锅拉个呱……小日子过的舒坦，有滋味！满足啊！……“望月，你的 值 日 表该交了！这个不和谐的声音，打断了我所有的遐想！就不能等我做完梦吗？哎，不说了，老板又来了，我打扫卫生去了！

"
"
忧郁的创可贴
","


单位有个男领导，很富态，地中海，今年五十多岁了，平时很严厉，我们大家都怕他，每次安排工作都是凶巴巴的。刚刚他突然给我发消息：“小王，马上就要放年假了，工作总结我还没写，连模板也没有，你能不能帮我下崽？我一个人弄不了。。。”这事。。。我到底答不答应？

"
"
吃了两碗又盛
","


去一个地方，同事开车，但他不认识路，我给他指示方向，一点没走冤枉路，同事很满意，对我竖起大拇指说:你真是个优秀的电子狗。

"
"
逍遥ベ冰儿小迷妹
","


失恋了，一想到石科这样优秀的男人，不再属于我了，就难受的想哭。抱着闺蜜，哭着说:我要石科老公，你去给我找石科老公!好想!闺蜜也不知道是听不清还是故意转移话题，笑道:十个老公，我可找不来，要不你去幼儿园上班吧，想要什么样的，自己培养出来，要多少都行！

"
"
XX青春
","


做完核酸检测，我问医生去哪里拿检查结果，医生跟我说你不用去有问题我们会开车去接你……

"
"
璃白°
","


前段时间，儿子吵着闹着要养一只小动物，我想着要不干脆养只母鸡，还能下蛋。今天儿子放寒假了，大清早我去市场买了只母鸡，关在笼子里，放在客厅。上面写了几个字：宝贝寒假快乐--爱你的妈妈。我在厨房做早餐的时候，儿子醒了，他一把抱住鸡笼，哭着喊着：妈妈，你怎么变成母鸡了，我不要小动物了，你快变回来啊……

"
"
胡子灬哥
","


家里的锅坏了，让我带一口回去。农村土灶那种锅，很大，骑摩托车一点都不好带。还好卖锅的老板想了个办法，用包装袋把锅绑起来，让我背在背上，这样骑车就很方便了。正在我戴好墨镜准备跨上摩托车的时候，路边一个小孩指着我，喊到，妈妈看龟仙人！

"
"
偷惢前女友
","


狗闺蜜：夏夏，我要是嫁不出去你会不会娶我我：傻瓜，很遗憾没有早点认识你，那样我就能把你抱在怀里，看着你长大狗闺蜜：你这么说我太感动了我：别误会，我就是想做你爸爸！吼吼吼

"
"
歌歌哒f
","


去包子铺买包子，卖包子的是个小姑凉，我：给我两包子，她：啥馅的，我：随便……她笑着道：随便，我不知道该怎么拿……我看着她为难的样子开玩笑道：把你们昨天没卖完的给我两个，她笑的更开心了的说道：大哥你真会开玩笑，我们没有卖剩的包子……于是我付完钱后提着包子走出一段距离拿出来吃时发现她给我装的是两馒头……

"
"
红尘一笑醉红颜～
","


晚上兄弟来家蹭饭，很难得的给我带了四个橙子（说是公司发的福利），吃完了聊了一会儿天，说吃点水果呗，把他拿来的四个吃完又吃了我三个才走的.....

"
"
狐小乔
","


公司的热水壶坏了，前台妹子从家拿来一个；微波炉坏了，她又搬来一个；食堂电饭煲坏了，她仍从家拿一个。领导表扬她爱厂如家，问她家里卖小家电？前台妹子说：不是，这些都是我妈从单位拿回家的，四年后要还回去。领导纳闷：还要还回去？你母亲是干什么的？前台妹子：她是大学宿舍的宿管阿姨。

"
"
石锅拌着饭
","


小时候打工回家的老爹带回来一口小砂锅，据说是一个饭店老板送的，叫啥十年老砂锅，因里面侵染了各种食材的味道，所以煮出来的东西也必然百般滋味。吃第一顿时就深深爱上了这砂锅，猪肉能煮出鸡肉的鲜香，狗肉能炖出牛肉的野性，鸭肉能整出鱼肉的细腻。美中不足的就是锅小了点，每次都吃不尽兴，我问老爹为嘛铁锅整不出这个味道？老爹解释说，因为这种锅是石头做的，长期吸收各种味道，煮的时候里面那些味道会散发出来，所以才这么好吃。明白原理之后我也想什么时候煮一锅尝尝，可那时才十岁老爹怕我成事不足败事有余，一
…
查看全文"
"
逍遥ベ冰儿小迷妹
","


从网上看了一款很漂亮的小瓶子，进了一批，打算装点果酱果茶，促销的时候送出去。顾客的反馈不错，别的不要，只要小瓶子，我就多进了一些，这回明码标价了。又小赚了一笔，高兴之余，发现不对劲了，你们能不能光顾一下我的果酱，很好喝哦！！！

"
"
大头梨不大
","


媳妇学医的外科医生～咯咯咯咯咯前两天跟媳妇吵架拌嘴了，今天丈人打电话叫回家帮忙杀猪，我以为是让我帮忙按着或是什么，谁知道是叫我媳操刀动手，我看着我媳妇戴着手套，只用一把医用手术刀利索的割开猪的喉咙放血，然后轻松的分割成若干块，每次下刀都能精准的找到骨缝，一点声音没有就把各种骨头拆分下来，我觉得我更爱我媳妇了，以后绝对不会跟她吵架了

"
"
夏有凉风秋望月
","


高中时候，楼主有点任性，性格特泼辣。。。有一次为了点小事跟奶奶吵架（离家比较远，爸爸妈妈上班，奶奶陪读），越吵越凶，放下一句“我不要你陪读了，你滚吧”就去上学了。丢下奶奶一个人在出租房越想越气，越想越伤心，果断收拾东西回家了，临走时候想了想，还把床上唯一的一床被子也打包带走了。。。

"
"
狐小乔
","


门诊，一大哥来就诊，进了门就和我说：“哎呀，你还记得我不？我是你姨夫的侄子的表弟的大舅哥啊！论起来你该叫我大表哥，几年前谁谁家的小谁结婚，咱们还见过一次呢！”我实在是太懵了，绕得太远了，我实在是想不起来了，只能硬着头皮：“哦哦，大表哥啊！哪不舒服啊？”一番问诊，然后开了化验单，检查单。结果出来了，他又找到我，我一看，肝功不太好，就问了一句：“喝酒吗？”他：“啊？”我：“喝酒吗？”他：“喝酒？现在吗？”我：“是啊！”他突然兴奋起来：“好啊！好啊！表妹！那咱就喝点呗！
…
查看全文"
"
花落彼岸任逍遥
","


昨天我们家准备蒸豆包，因为 活 面 发生了以下蜜 汁 对话。我老爸问我哥我们俩:“这豆包面你们俩谁 活呀，要我看小胖比较壮实让他 活 吧，冲着我哥说你别 活 了”。瞬间感觉我哥头上满头黑线

"
"
老毛的酒
","


家附近新开了一个串店，每次去吃都和老板娘开玩笑，“走啊，美女，晚上酒吧玩一下[嘿嘿]”。老板娘笑而不语[嘿嘿]今天yue了一妹子去吃串，老板娘见我来了一句“怎么？今天不yue人家去酒吧了？[嘿嘿]”。妹子听完，笑脸相迎的敬了我一杯酒，然后就走了。不说了，我先去把脸上的酒擦干净[捂脸][捂脸][捂脸]

"
"
忧郁的创可贴
","


小侄女刚学走路的时候，经常摔倒，摔倒就哇哇大哭。要花大力气去哄。后来我们发现，只要她摔倒的时候，我们当成的搞笑的事情看，夸几句摔得漂亮，她就会跟着哄笑起来，不管疼不疼都不会哭。后来全家人也都养成了习惯。有一天带着小侄女去理发，出来的时候，看到一个满身纹身的大哥正好被绊了一跟头，嘴皮子都磕破了，当大哥灰头土脸爬起来的时候，看到我俩在哈哈大笑还说摔得漂亮。。。我最喜欢的鞋就是那天跑丢了一只。。。

"
"
璃白°
","


小时候，每逢周末都会去外婆家，外婆对我很好，会做很多好吃的给我，外公也时常会给我一两块钱。我也懂事，常常干些力所能及的事，比如帮他们打扫卫生、洗碗。那天大扫除时，我从床底下翻出一个黑色袋子，里面一大把零钱，数了数竟然有六百多块，我高兴的交给了外婆。外婆狐疑的望着外公，外公连忙表示不是他的，并推测是我那出外打工的小舅舅，落在家里的。为了奖励我，外婆特意煮了我最喜欢吃的红烧肉，不过，那天外公好像胃口不好，随便扒拉了几口饭。还有，从那天以后，外公再也没给过我钱[大哭
…
查看全文"
"
璃白°
","


元旦假期，带儿子回娘家小住了两天。晚上儿子回房睡了。我在客厅嗑瓜子，我妈走过来就是一个暴击：嗑瓜子轻点声，别吵到我外孙睡觉。第二天中午，我午睡，儿子在客厅嗑瓜子，我不满道：嗑瓜子轻点声，别吵到我睡觉。我妈走进卧室，又是一个暴击：我外孙嗑个瓜子，你也要管啊？我……[大哭][大哭]

"
"
净心居士
","


大家好，我叫净心居士，大家都叫我净身居士，反正不管啦！一个代号而已。众所周知我还有一个外号叫大黄，所以你们只知道我姓黄，却不知道我叫啥！说起我的名字，说多了都是泪呀[大哭]，今天我厚着脸皮告诉大家，我父母一直希望有一个女孩，以至于我出生的时候听说有个小尾巴，当机立断给我取了个叫来凤的名字，希望接下来是个女娃。

"
"
南九
","


昨天去百货。咯咯咯……老婆去停车，我在门口出示健...康 ...码以后就站在旁边等老婆。结果，后面很多人都把手机屏幕对着我晃一下再进入商场。我旁边负责执勤的大姐拽拽口罩，斜着眼看了我一会说:那我先去喝杯水……

"
"
璃白°
","


刚进这家工厂上班的时候，为了给大家留个好印象，每天提前半小时起床，把自己打扮漂漂亮亮的去上班。厂门口保安，是一个刚退 役的小哥哥，每次都热情的和我打招呼：嗨，美女，早上好。一个月后，觉得每天早起好累啊，于是不再化妆，素颜去上班。那个保安小哥哥见到我，例行公事般微笑了一下，没有和我打招呼。第三天，他叫住我：这位大姐，你们部门有一个很漂亮、身材和你差不多的妹子，她怎么有三天没上班啦？是生病了，还是辞职了?

"
